layer,Thickness,Lithology
23,0.03841,Dolostone
22,0.04519,Sandstone
21,0.1107,Shale
20,0.07456,Limestone
19,0.05541,Dolostone
18,0.07942,Shale
17,0.15884,Dolostone
16,0.0554,Limestone
15,0.0628,Dolostone
14,0.10897,Limestone
13,0.29367,Dolostone
12,0.13298,Limestone
11,0.13483,Dolostone
10,0.07203,Limestone
9,0.02955,Limestone
8,0.02216,Shale
7,0.12559,Dolostone
6,0.18101,Limestone
5,0.24007,Limestone
4,0.05545,Limestone
3,0.0554,Limestone
2,0.0628,Limestone
1,0.03694,Limestone
