Height,Age,Age_sigma,Age_025CI,Age_975CI
-52.0,66.07535892974539,0.016387627552090445,66.04009506482818,66.10859784214047
-51.0,66.07371824899813,0.01624502045426424,66.03638767535458,66.10256864960908
-50.0,66.07208501380553,0.0164267415768691,66.0327887823211,66.09857193588047
-49.0,66.07052752383088,0.01672070577064371,66.03009790412538,66.0956449986406
-48.0,66.06898762758236,0.01726823158025991,66.02666817168708,66.09409040636162
-47.0,66.06754506809075,0.01789809787576091,66.02352511036287,66.0932288592019
-46.0,66.0660978125521,0.0186031343594313,66.02049491546974,66.09248337282321
-45.0,66.06460195991792,0.019369142985570555,66.01717804042197,66.09191870412617
-44.0,66.06320126436009,0.020046477244010378,66.01467566329404,66.09154738218683
-43.0,66.061816051488,0.020758295911199938,66.01192506856447,66.09123453168681
-42.0,66.06034031878755,0.021469557573359336,66.0093548145175,66.09082818619893
-41.0,66.05892125411071,0.022156026883897405,66.00671590622518,66.09046496727096
-40.0,66.05749145557473,0.02279092731924655,66.00423728880347,66.09014014152832
-39.0,66.05609689029157,0.023328494960772363,66.00141636139911,66.08968846930358
-38.0,66.054636211248,0.023902797218825905,65.99906865501022,66.08931042765019
-37.0,66.05325607918064,0.024388407563015024,65.99665904687507,66.08888483947592
-36.0,66.05193861397615,0.02484779394537522,65.99465163493831,66.08861416718895
-35.0,66.05047934440097,0.025349667318366572,65.99265444061136,66.08838013576798
-34.0,66.04913935307557,0.025750653332972953,65.99061319347238,66.08791031053013
-33.0,66.04779778319657,0.02610348972144307,65.98901243893349,66.08742880625611
-32.0,66.04639000670383,0.026500769335023718,65.98747590275877,66.0872532255418
-31.0,66.0450368557965,0.02686605130371979,65.98542739856015,66.0868581016173
-30.0,66.04368192926911,0.027335694820345396,65.98355955922992,66.08655959717241
-29.0,66.04236866864214,0.02770442029700236,65.98146017095775,66.08619883284072
-28.0,66.04091982736631,0.028044236988405063,65.97981978518456,66.08565398055289
-27.0,66.039539669111,0.028349855190890536,65.97777094208394,66.08534272719037
-26.0,66.03831620483552,0.02858133856951089,65.97623209606296,66.08494740523332
-25.0,66.0369180758169,0.028943586149983342,65.97413730035598,66.08445177322793
-24.0,66.0354597454376,0.029308216362058805,65.97278587433351,66.08390223774038
-23.0,66.03412630778229,0.02956666753512008,65.97138416847206,66.0834902384059
-22.0,66.03286040265414,0.029763607182965494,65.96976315744232,66.08309404352113
-21.0,66.0314773533501,0.029961291618489434,65.96820533480542,66.08246916934068
-20.0,66.03013321054266,0.03024863585585182,65.96603246280996,66.08208089259638
-19.0,66.02882977224579,0.030490837039758443,65.96478384164301,66.08158562848865
-18.0,66.02746212277734,0.030734914285724058,65.96339839384238,66.08121649444554
-17.0,66.02617472420984,0.030968364143516915,65.96213343972167,66.08072460622041
-16.0,66.02488202836581,0.03112744924654837,65.96083737012036,66.07989461952191
-15.0,66.02350061265831,0.03132528318155495,65.95962414528755,66.07922517326739
-14.0,66.02216676496873,0.03143500021558366,65.95843193658953,66.07864710988395
-13.0,66.02074417056066,0.031622094996277855,65.95696936987261,66.07791716916029
-12.0,66.01948275118505,0.03178463275670224,65.95605174433058,66.07748142453973
-11.0,66.01817435602942,0.031851243084547176,65.95450484128727,66.07656590005799
-10.0,66.01688168299843,0.031910094224741475,65.9529826672155,66.07595943329284
-9.0,66.01562807805205,0.03199718578341496,65.9520149056697,66.07528945016305
-8.0,66.01434208874221,0.03204813552198275,65.95075454939524,66.07473049724022
-7.0,66.01311636076349,0.032097849006444655,65.94960199977277,66.07372236871487
-6.0,66.01172777224295,0.032127298847119186,65.94882396683822,66.07269743349966
-5.0,66.0104671028348,0.03216315928911558,65.94800861178345,66.07191011039178
-4.0,66.0091506891028,0.03217491216972284,65.9470710415762,66.07125055682178
-3.0,66.0078145788414,0.032103602777423544,65.94623527932016,66.07000624200694
-2.0,66.00652883435619,0.03219784670293268,65.94494331103748,66.06896471692365
-1.0,66.00520413521346,0.03215255313728386,65.94419959506041,66.06791528057954
0.0,66.00391596415862,0.032193368149159844,65.94347271669857,66.06700528093077
1.0,66.00263327895064,0.03212325365518275,65.9425810762223,66.06592629729488
2.0,66.00133499381899,0.032039180890309306,65.94181126857292,66.06476637696953
3.0,66.00001828207796,0.031924092349426704,65.9410238928775,66.0632756678191
4.0,65.99876153246385,0.031867010664524506,65.94003846996418,66.06208708764838
5.0,65.99742444166107,0.03184725004875243,65.93920399042226,66.06144190170062
6.0,65.99611392158496,0.031780558128546244,65.9387647738514,66.06041720003854
7.0,65.99488102034266,0.03168764554192696,65.93817861479236,66.05940800819121
8.0,65.9935531453596,0.03162674103983347,65.93716559346099,66.05874673174242
9.0,65.99229657142598,0.03147544442911144,65.9362877839748,66.0573388456169
10.0,65.99095583178529,0.031245201218541598,65.93561340547579,66.05581053702325
11.0,65.98960640347443,0.031109618589119255,65.93475014024686,66.05426160213123
12.0,65.98831053086703,0.030905914078355714,65.9341873092542,66.05283877434226
13.0,65.98701413260774,0.03072364595435594,65.93349557592414,66.05157065357635
14.0,65.98569265787464,0.030507714398758976,65.932873714209,66.05004154711418
15.0,65.98433667675398,0.030296228117515887,65.93244748189538,66.04857008152314
16.0,65.98295772374645,0.030033147591574095,65.93194110349552,66.04766184417535
17.0,65.98158469600568,0.029732432570171306,65.93136179294933,66.0460388506408
18.0,65.98029801295851,0.029436291405248977,65.93070005462802,66.04467671329127
19.0,65.97903121061663,0.029125588281763495,65.93028414206843,66.04189064937025
20.0,65.97772528607877,0.028829176424717957,65.92982273107418,66.04045658915335
21.0,65.97642805545384,0.028510737236380618,65.9292785995364,66.03882960394554
22.0,65.97508942825827,0.028116117011378155,65.92887758531404,66.0367543436558
23.0,65.97376938092009,0.027691379614323903,65.92821535613716,66.03487496085992
24.0,65.97241149128656,0.027293760336721973,65.92769396494357,66.03316078761821
25.0,65.9710787370214,0.02690450936113104,65.92718669552862,66.03142494510742
26.0,65.96975732047896,0.026487528434303666,65.92668270125125,66.02953066401622
27.0,65.96845392655365,0.02607755393262194,65.92620734648537,66.02680219423141
28.0,65.96706501759911,0.025507114120368022,65.92587606705428,66.02417851265953
29.0,65.9657709559412,0.025011656068605462,65.9254836200679,66.02219766667322
30.0,65.96438741842805,0.024506881289726206,65.9248638317942,66.02004795582654
31.0,65.96304497925539,0.023954342617019016,65.92457797448343,66.01776297596369
32.0,65.9617185647457,0.023417665255110433,65.92429890115464,66.01520052447786
33.0,65.9602864265619,0.022756188691408455,65.92387169426632,66.01292485807214
34.0,65.95893014820504,0.022093707606890303,65.92317269489826,66.01027393407855
35.0,65.95760752530418,0.021393289764177415,65.92251007655437,66.00744158723931
36.0,65.95631726878818,0.02076135953226331,65.92208983263407,66.00512489234329
37.0,65.95500295558244,0.020109854919818204,65.92166517339219,66.00247157455686
38.0,65.95367646824945,0.019349761155157782,65.92123086964611,65.99895088010784
39.0,65.95236546713508,0.01855800748197453,65.92099394614701,65.99590345028413
40.0,65.95108230682607,0.0178262595841255,65.92068644206068,65.99295983328557
41.0,65.9498200363398,0.01693033543850268,65.92031742654753,65.98872550278138
42.0,65.9484435274318,0.015910400979919647,65.91983718141412,65.98310520713508
43.0,65.94711986124504,0.014759157673595025,65.9195502822959,65.97746252589039
44.0,65.94596285191527,0.013928425817644698,65.91922696883181,65.97348714172439
45.0,65.94510444075502,0.013549101764101342,65.91868269472037,65.97179951895788
46.0,65.94442055785971,0.013426442597693773,65.91807285931321,65.97071908194799
47.0,65.94376516212824,0.013485707456200709,65.9172632758195,65.970217392197
48.0,65.94320831785795,0.013520914035016108,65.91655928391954,65.96981682987393
49.0,65.94261428712142,0.013464122774812053,65.9160363241026,65.96919389558076
50.0,65.94201176233382,0.01349224512536012,65.91532770768647,65.96854579006309
51.0,65.9414182343264,0.013479961100465333,65.91462590259806,65.96783025077838
52.0,65.94080090819467,0.01352724035039977,65.9140266748341,65.96698883604995
53.0,65.94019140028985,0.013636070215566539,65.91305944413192,65.96650801041503
54.0,65.93960312454051,0.013752609820293778,65.91206428127401,65.965960657813
55.0,65.93896899630018,0.013928127619918974,65.91084677500419,65.96551155246736
56.0,65.93827749323984,0.014182435442078844,65.90906620032867,65.96509074037513
57.0,65.93756463458759,0.014544202579339124,65.90723084862147,65.96472984859304
58.0,65.93686962020294,0.01483928913052068,65.90579352111891,65.96433520033929
59.0,65.93620289987314,0.01516482855883615,65.9043470964607,65.96414655129107
60.0,65.93548347987426,0.015543877179058627,65.90218093808869,65.96369067202349
61.0,65.93478372624355,0.0159130758071966,65.90022682788899,65.9634566622824
62.0,65.93411688650076,0.016255579545359757,65.89872932921556,65.96317971533396
63.0,65.93340328484776,0.016600864872672372,65.89706313431341,65.9628054868207
64.0,65.93269679156928,0.016835585599794443,65.89579099752274,65.96235649610581
65.0,65.93200077010064,0.017102533362658812,65.89469656218688,65.9619336764952
66.0,65.93135536920589,0.017414521945932546,65.89320032256917,65.96164030390189
67.0,65.93070477511677,0.017637181247647724,65.89200477946459,65.9613567510705
68.0,65.93000302460806,0.017829222024232826,65.89064966152192,65.96107273774903
69.0,65.92932062714102,0.018060606618650065,65.8894653228584,65.96058556701918
70.0,65.92863160282832,0.018287470658423528,65.88830824268727,65.96042198370259
71.0,65.92791406949875,0.01852116738020514,65.88734021846628,65.95999187697518
72.0,65.92714862587655,0.018811418375456457,65.88550915189384,65.95963288724813
73.0,65.92640761388787,0.019058204240331257,65.88417723659627,65.95925467402655
74.0,65.92566065119107,0.019318551324903205,65.88321062438537,65.95907728314339
75.0,65.92480955429178,0.01958781631444368,65.88135160101311,65.95880823826025
76.0,65.92391251888372,0.019880008868774997,65.87999326085298,65.95832302746969
77.0,65.9228670047943,0.020232878328114795,65.8783389468363,65.9579878252617
78.0,65.92162853712843,0.020669211431542944,65.87671204752074,65.95763084882597
79.0,65.92009628082828,0.021279075085910218,65.87373569917219,65.9570110806533
80.0,65.91825722908364,0.021987697844412537,65.86989860818022,65.95632706342856
81.0,65.91581934196395,0.022953275101119053,65.8656995282235,65.95531890234182
82.0,65.91301531187692,0.02400948091267668,65.8607788636636,65.95420774062016
83.0,65.90986627025147,0.02500363645493526,65.85605150163292,65.95280247097641
84.0,65.90639764150433,0.02602393471886901,65.84923592179192,65.95138373775303
85.0,65.90256072912595,0.026897325781645227,65.84554923268463,65.9495446554222
86.0,65.89843751614826,0.02763266482674007,65.84084322384999,65.94738155615174
87.0,65.89425603167065,0.02803591029919399,65.83709043646014,65.94491884721076
88.0,65.88990181842797,0.02815830424026776,65.83377973469901,65.94211122760576
89.0,65.88577593421216,0.028321638198870215,65.82910580624059,65.9388295981907
90.0,65.8816500306623,0.02815757768129285,65.82472414107139,65.93561635655588
91.0,65.87769405731021,0.02812318948641794,65.82098832140741,65.93239541355805
92.0,65.87387969511975,0.02790343226626194,65.81742754360761,65.92784755170521
93.0,65.870116479327,0.027563049026020584,65.81421788055943,65.92344973391565
