1.4007,0.0035
1.2988,0.0080
1.3154,0.0028
1.4357,0.0042
1.3021,0.0046
1.3509,0.0028
1.2971,0.0122
1.3019,0.0029
1.3397,0.0062
1.3037,0.0029
1.3450,0.0025
1.3570,0.0026
1.3332,0.0026
1.3031,0.0130
1.3487,0.0199
1.4677,0.0040
1.3024,0.0052
1.3029,0.0033
1.4932,0.0040
1.3007,0.0091
1.3085,0.0072
1.3044,0.0028
1.2981,0.0027
1.3219,0.0052
1.3958,0.0028
1.2986,0.0033
1.4268,0.0036
1.2978,0.0042
1.4639,0.0037
1.3534,0.0041
1.2925,0.0074
1.2947,0.0048
1.3999,0.0042
1.4460,0.0036
1.3173,0.0031
1.3540,0.0052
1.2992,0.0032
1.3553,0.0038
1.3439,0.0034
1.3080,0.0031
1.3083,0.0032
1.2940,0.0027
1.2930,0.0027
1.3628,0.0036
1.2894,0.0039
1.6173,0.0041
1.4988,0.0032
1.3539,0.0043
2.0522,0.0049
1.2931,0.0032
1.4263,0.0058
1.2848,0.0059
1.3302,0.0043
1.3190,0.0028
1.8360,0.0112
1.3013,0.0057
1.3745,0.0032
1.5596,0.0110
1.3113,0.0030
1.4581,0.0404
1.3001,0.0037
1.3023,0.0046
1.3350,0.0043
1.6681,0.0037
1.2846,0.0068
1.6044,0.0054
1.3214,0.0043
1.3324,0.0028
1.2956,0.0034
1.3687,0.0043
1.3825,0.0037
1.3531,0.0055
1.4973,0.0040
1.3202,0.0027
1.3084,0.0055
1.4468,0.0031
1.3863,0.0307
1.3532,0.0052
1.3012,0.0045
1.4088,0.0041
1.3500,0.0074
1.3126,0.0046
1.4020,0.0073
1.6656,0.0077
1.3716,0.0076
1.3882,0.0064
1.3008,0.0038
1.7715,0.0052
1.3619,0.0041
1.2959,0.0051
1.5987,0.0217
1.2979,0.0068
1.4894,0.0046
1.3051,0.0055
1.3092,0.0052
1.5137,0.0053
1.3600,0.0074
1.6624,0.0052
1.3764,0.0043
1.3929,0.0059
1.4460,0.0049
1.3968,0.0054

